                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.0963,                 1.1085,                 1.0489,                0.79485,                0.63781,                0.67436,                0.45244,                 1.7599,                 1.4185,                 1.4324,               0.000227,               0.000227,               0.000227
                    127,                0.91132,                0.78775,                0.96277,                0.77358,                0.64848,                0.67871,                0.45574,                   1.75,                 1.4003,                 1.4245,             0.00021875,             0.00021875,             0.00021875
                    128,                0.98359,                0.78489,                0.98728,                 0.7724,                0.65208,                0.66965,                0.42701,                 1.7338,                 1.3889,                 1.4198,              0.0002105,              0.0002105,              0.0002105
                    129,                0.92522,                0.79095,                0.96397,                0.74344,                0.62438,                0.65346,                0.42264,                 1.7312,                 1.3866,                 1.4241,             0.00020225,             0.00020225,             0.00020225
                    130,                0.86701,                0.82412,                0.96643,                0.75809,                 0.6165,                0.64332,                0.41448,                  1.737,                 1.3785,                 1.4297,               0.000194,               0.000194,               0.000194
                    131,                 0.8624,                0.77548,                0.96138,                  0.778,                0.61405,                0.64501,                0.41089,                 1.7435,                 1.3634,                 1.4364,             0.00018575,             0.00018575,             0.00018575
                    132,                 1.0794,                0.90348,                 1.0025,                0.78241,                0.60618,                0.65968,                0.41966,                 1.7435,                 1.3533,                 1.4391,              0.0001775,              0.0001775,              0.0001775
                    133,                  0.921,                 0.9979,                 0.9939,                0.78714,                0.60444,                0.65497,                0.41637,                 1.7463,                 1.3461,                 1.4403,             0.00016925,             0.00016925,             0.00016925
                    134,                0.81844,                0.78428,                0.95819,                  0.771,                0.59733,                0.65053,                0.41469,                 1.7615,                  1.344,                  1.456,               0.000161,               0.000161,               0.000161
                    135,                 1.0135,                0.90482,                0.97832,                0.75606,                0.59145,                0.64121,                0.40625,                 1.7672,                 1.3619,                 1.4605,             0.00015275,             0.00015275,             0.00015275
                    136,                0.89802,                0.84254,                0.97813,                0.76384,                0.56893,                0.64367,                0.41091,                  1.768,                 1.3784,                 1.4611,              0.0001445,              0.0001445,              0.0001445
                    137,                0.96427,                0.85795,                0.99805,                0.77005,                0.55696,                0.64406,                0.41125,                 1.7628,                 1.3855,                 1.4611,             0.00013625,             0.00013625,             0.00013625
                    138,                0.91222,                0.75543,                0.96474,                 0.7062,                0.57824,                0.63512,                0.40679,                 1.7622,                 1.3884,                  1.462,               0.000128,               0.000128,               0.000128
                    139,                0.99258,                0.76466,                0.96721,                0.76733,                 0.5562,                0.63548,                0.40594,                 1.7621,                  1.383,                 1.4638,             0.00011975,             0.00011975,             0.00011975
                    140,                0.91289,                  0.913,                0.97445,                0.75332,                0.56649,                0.62353,                0.40154,                 1.7533,                 1.3814,                 1.4577,              0.0001115,              0.0001115,              0.0001115
